uid,caption,image_path
kiDgUIcaC7c4YaIcLCJeq4kS7rK,A white single-engine propeller airplane with a low-wing design and tricycle landing gear.,data/processed/images/kiDgUIcaC7c4YaIcLCJeq4kS7rK.png
2eOt2Co4yuPfsD9trHxSmIuxwgK,"A green, frog-like creature wearing round glasses, holding a cup and a toothpick, with a textured back and pronounced fingers and toes.",data/processed/images/2eOt2Co4yuPfsD9trHxSmIuxwgK.png
j52KY7l3x9B7yTUiJmWfnpODdax,A small tree on a patch of ground with irregular edges.,data/processed/images/j52KY7l3x9B7yTUiJmWfnpODdax.png
dZM64cBYmcGvXfIPfctL7VYthzj,A dump truck.,data/processed/images/dZM64cBYmcGvXfIPfctL7VYthzj.png
is6yCYVguFt3c7rLqKekXCjuH1Y,"A rectangular object with a white body, a blue frame featuring slotted vents, and a gray panel attached with four knobs.",data/processed/images/is6yCYVguFt3c7rLqKekXCjuH1Y.png
zWmQf0Sk2AvucBMG63bBNSAcrtw,"Monochromatic matte-finish humanoid robot with a robust, armored design, featuring large shoulder plates, heavy boots, and protective gear around the limbs and torso.",data/processed/images/zWmQf0Sk2AvucBMG63bBNSAcrtw.png
jWqCfOnq5sU58oH0yyGEMN2ddWC,A spherical body with two antennae-like protrusions on top and six jointed legs extending from the sides.,data/processed/images/jWqCfOnq5sU58oH0yyGEMN2ddWC.png
ArC5hdRnKQSKoonDWPtOu6BuPsJ,"A textured, irregularly shaped spear or dagger with a jagged edge and a handle featuring two holes.",data/processed/images/ArC5hdRnKQSKoonDWPtOu6BuPsJ.png
ed51a51909ee46c780db3a85e821feb2,A simplified rifle with a long barrel and shoulder stock.,data/processed/images/ed51a51909ee46c780db3a85e821feb2.png
9110b606f6c547b2980fcb3c8c4b6a1c,"A long rectangular building with a tiled roof, a covered porch supported by columns, and brick and wooden walls.",data/processed/images/9110b606f6c547b2980fcb3c8c4b6a1c.png
80d9caaa1fa04502af666135196456e1,"A sleek, futuristic katana with a white blade and a purple-and-black hilt, accompanied by a matching purple sheath.",data/processed/images/80d9caaa1fa04502af666135196456e1.png
28d43a218cd8466a8c1f82b29b71e314,"A cluttered outdoor scene with vegetation, debris, and a dilapidated structure amidst assorted materials and objects.",data/processed/images/28d43a218cd8466a8c1f82b29b71e314.png
75582285fab442a2ba31733f9c8fae66,A grassy hill with ancient rectangular stone ruins surrounded by an oval earthwork ditch.,data/processed/images/75582285fab442a2ba31733f9c8fae66.png
53d0b31aa7f84bc4b1733224963d0114,A white sofa with wooden legs and a wooden frame.,data/processed/images/53d0b31aa7f84bc4b1733224963d0114.png
25f25e35aada40e49194657fd51c1199,"A wooden fence with posts and a gate, featuring a sand base.",data/processed/images/25f25e35aada40e49194657fd51c1199.png
d7340a5b05b6460facbd90aaafb7f1f1,"A color-mapped terrain with contour lines depicting elevation changes, hills, and valleys.",data/processed/images/d7340a5b05b6460facbd90aaafb7f1f1.png
